condition,probability,response
High contrast (Early),0.9996401194816413,correct
High contrast (Early),0.0003598805183586684,error
Low contrast (Early),0.9040385814197721,correct
Low contrast (Early),0.09596141858022789,error
Low contrast (Late),0.9040771599403191,correct
Low contrast (Late),0.09592284005968088,error
High contrast (Early),0.9996835085924807,correct
High contrast (Early),0.0003164914075193259,error
Low contrast (Early),0.9065175475740929,correct
Low contrast (Early),0.09348245242590714,error
Low contrast (Late),0.9065246817511311,correct
Low contrast (Late),0.0934753182488689,error
High contrast (Early),0.9995757947669998,correct
High contrast (Early),0.00042420523300024104,error
Low contrast (Early),0.6813383469961489,correct
Low contrast (Early),0.3186616530038511,error
Low contrast (Late),0.6814461484841076,correct
Low contrast (Late),0.31855385151589244,error
High contrast (Early),0.9991323466826738,correct
High contrast (Early),0.0008676533173261891,error
Low contrast (Early),0.8823841435916516,correct
Low contrast (Early),0.11761585640834837,error
Low contrast (Late),0.8824086228218865,correct
Low contrast (Late),0.11759137717811352,error
High contrast (Early),0.9995080500780403,correct
High contrast (Early),0.0004919499219596668,error
Low contrast (Early),0.762201737800613,correct
Low contrast (Early),0.23779826219938704,error
Low contrast (Late),0.7621923765107503,correct
Low contrast (Late),0.23780762348924966,error
High contrast (Early),0.999069505756898,correct
High contrast (Early),0.0009304942431019869,error
Low contrast (Early),0.9729388938678255,correct
Low contrast (Early),0.027061106132174495,error
Low contrast (Late),0.9725013782215742,correct
Low contrast (Late),0.02749862177842577,error
High contrast (Early),0.999744815238116,correct
High contrast (Early),0.00025518476188401973,error
Low contrast (Early),0.986395123301145,correct
Low contrast (Early),0.013604876698855017,error
Low contrast (Late),0.9863083139035042,correct
Low contrast (Late),0.013691686096495848,error
High contrast (Early),0.9994776020295465,correct
High contrast (Early),0.0005223979704535031,error
Low contrast (Early),0.9737239420617981,correct
Low contrast (Early),0.02627605793820187,error
Low contrast (Late),0.9738206562461963,correct
Low contrast (Late),0.026179343753803708,error
High contrast (Early),0.9995862042703261,correct
High contrast (Early),0.00041379572967392697,error
Low contrast (Early),0.9739060656610307,correct
Low contrast (Early),0.026093934338969338,error
Low contrast (Late),0.973876512449845,correct
Low contrast (Late),0.026123487550155033,error
High contrast (Early),0.9993886853011403,correct
High contrast (Early),0.0006113146988596663,error
Low contrast (Early),0.9913145462918681,correct
Low contrast (Early),0.008685453708131896,error
Low contrast (Late),0.9917056700915484,correct
Low contrast (Late),0.008294329908451581,error
High contrast (Early),0.9997355891657252,correct
High contrast (Early),0.0002644108342747531,error
Low contrast (Early),0.9756465557587762,correct
Low contrast (Early),0.024353444241223765,error
Low contrast (Late),0.9756988052391672,correct
Low contrast (Late),0.02430119476083281,error
High contrast (Early),0.9992886409576375,correct
High contrast (Early),0.0007113590423625249,error
Low contrast (Early),0.9732406840000354,correct
Low contrast (Early),0.026759315999964617,error
Low contrast (Late),0.9744219558017717,correct
Low contrast (Late),0.02557804419822829,error
High contrast (Early),0.9997388921522596,correct
High contrast (Early),0.00026110784774036055,error
Low contrast (Early),0.9588265634555244,correct
Low contrast (Early),0.04117343654447558,error
Low contrast (Late),0.9605715984299497,correct
Low contrast (Late),0.03942840157005034,error
High contrast (Early),0.9997270371533554,correct
High contrast (Early),0.0002729628466445755,error
Low contrast (Early),0.9835625492219647,correct
Low contrast (Early),0.016437450778035267,error
Low contrast (Late),0.9834777112980116,correct
Low contrast (Late),0.016522288701988352,error
